Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 6 7 1 1 7 5
Vardas2 Pavarde2 7 6 5 9 3 8
Vardas3 Pavarde3 6 7 7 7 7 1
Vardas4 Pavarde4 5 7 8 5 8 4
Vardas5 Pavarde5 9 9 3 2 10 2
Vardas6 Pavarde6 5 2 9 6 8 10
Vardas7 Pavarde7 9 6 7 1 7 9
Vardas8 Pavarde8 7 1 1 2 10 3
Vardas9 Pavarde9 1 6 1 10 9 7
Vardas10 Pavarde10 10 10 9 9 4 9
Vardas11 Pavarde11 5 10 9 5 7 2
Vardas12 Pavarde12 2 7 8 4 2 3
Vardas13 Pavarde13 9 10 7 7 3 4
Vardas14 Pavarde14 6 2 1 7 4 7
Vardas15 Pavarde15 7 7 3 10 10 7
Vardas16 Pavarde16 6 3 9 5 1 10
Vardas17 Pavarde17 4 5 4 10 4 6
Vardas18 Pavarde18 10 4 7 9 9 10
Vardas19 Pavarde19 7 4 2 8 7 1
Vardas20 Pavarde20 1 10 10 9 2 8
Vardas21 Pavarde21 5 1 4 7 4 7
Vardas22 Pavarde22 3 9 8 10 5 3
Vardas23 Pavarde23 9 7 8 8 7 7
Vardas24 Pavarde24 8 5 3 9 9 1
Vardas25 Pavarde25 6 2 3 5 1 6
Vardas26 Pavarde26 5 7 2 10 4 9
Vardas27 Pavarde27 2 9 4 2 4 2
Vardas28 Pavarde28 10 8 10 4 6 9
Vardas29 Pavarde29 7 5 1 6 3 4
Vardas30 Pavarde30 7 3 9 5 4 6
Vardas31 Pavarde31 10 6 7 10 3 3
Vardas32 Pavarde32 7 9 3 7 1 10
Vardas33 Pavarde33 3 9 8 1 1 2
Vardas34 Pavarde34 3 3 5 3 5 3
Vardas35 Pavarde35 10 6 8 3 8 8
Vardas36 Pavarde36 10 6 1 6 1 7
Vardas37 Pavarde37 1 3 2 7 2 10
Vardas38 Pavarde38 10 9 1 1 5 6
Vardas39 Pavarde39 9 3 6 7 2 8
Vardas40 Pavarde40 8 2 8 8 6 3
Vardas41 Pavarde41 3 4 2 9 10 7
Vardas42 Pavarde42 7 3 8 9 9 5
Vardas43 Pavarde43 10 8 9 4 6 5
Vardas44 Pavarde44 9 4 2 10 6 7
Vardas45 Pavarde45 9 9 10 7 7 5
Vardas46 Pavarde46 2 2 4 4 1 8
Vardas47 Pavarde47 2 6 5 10 6 5
Vardas48 Pavarde48 1 7 10 6 5 7
Vardas49 Pavarde49 10 9 3 1 6 7
Vardas50 Pavarde50 5 9 1 3 2 8
Vardas51 Pavarde51 2 10 2 3 1 6
Vardas52 Pavarde52 1 6 10 8 8 8
Vardas53 Pavarde53 10 6 10 1 8 9
Vardas54 Pavarde54 3 7 4 8 8 1
Vardas55 Pavarde55 8 1 7 1 2 5
Vardas56 Pavarde56 9 9 7 4 4 4
Vardas57 Pavarde57 7 9 1 7 4 10
Vardas58 Pavarde58 5 1 7 2 1 2
Vardas59 Pavarde59 6 2 8 1 5 1
Vardas60 Pavarde60 4 2 6 4 4 9
Vardas61 Pavarde61 6 2 8 5 3 9
