Vardas         Pavarde        Galutinis 
----------------------------------------------
Vardas1        Pavarde1       6.68      
Vardas2        Pavarde2       7.16      
Vardas4        Pavarde4       5.36      
Vardas6        Pavarde6       7.36      
Vardas7        Pavarde7       8.08      
Vardas8        Pavarde8       7.04      
Vardas9        Pavarde9       7.08      
Vardas12       Pavarde12      8.48      
Vardas14       Pavarde14      5.84      
Vardas15       Pavarde15      7.16      
Vardas16       Pavarde16      6.04      
Vardas18       Pavarde18      5.76      
Vardas19       Pavarde19      6.44      
Vardas20       Pavarde20      7.52      
Vardas21       Pavarde21      6.60      
Vardas22       Pavarde22      5.72      
Vardas25       Pavarde25      7.12      
Vardas30       Pavarde30      5.52      
Vardas31       Pavarde31      5.16      
Vardas34       Pavarde34      5.56      
Vardas35       Pavarde35      5.76      
Vardas40       Pavarde40      6.88      
Vardas41       Pavarde41      7.44      
Vardas42       Pavarde42      7.96      
Vardas43       Pavarde43      8.72      
Vardas45       Pavarde45      5.40      
Vardas46       Pavarde46      7.56      
Vardas47       Pavarde47      6.12      
Vardas49       Pavarde49      5.80      
Vardas50       Pavarde50      5.68      
Vardas53       Pavarde53      6.44      
Vardas56       Pavarde56      7.20      
Vardas57       Pavarde57      7.64      
Vardas58       Pavarde58      7.52      
Vardas59       Pavarde59      5.40      
Vardas60       Pavarde60      5.00      
Vardas61       Pavarde61      5.44      
Vardas64       Pavarde64      5.08      
Vardas65       Pavarde65      5.04      
Vardas66       Pavarde66      6.00      
Vardas67       Pavarde67      6.52      
Vardas68       Pavarde68      6.08      
Vardas71       Pavarde71      7.36      
Vardas74       Pavarde74      6.36      
Vardas75       Pavarde75      7.32      
Vardas78       Pavarde78      6.32      
Vardas79       Pavarde79      7.20      
Vardas83       Pavarde83      5.36      
Vardas84       Pavarde84      7.52      
Vardas88       Pavarde88      6.32      
Vardas89       Pavarde89      7.80      
Vardas90       Pavarde90      6.52      
Vardas92       Pavarde92      6.28      
Vardas93       Pavarde93      5.48      
Vardas94       Pavarde94      6.92      
Vardas95       Pavarde95      6.52      
Vardas96       Pavarde96      5.08      
Vardas97       Pavarde97      7.08      
Vardas100      Pavarde100     6.84      
Vardas104      Pavarde104     5.52      
Vardas107      Pavarde107     5.44      
Vardas108      Pavarde108     7.04      
Vardas109      Pavarde109     6.88      
Vardas110      Pavarde110     7.56      
Vardas111      Pavarde111     6.04      
Vardas113      Pavarde113     7.08      
Vardas116      Pavarde116     6.20      
Vardas123      Pavarde123     6.96      
Vardas124      Pavarde124     5.24      
