Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 5 2 2 1 4 8
Vardas2 Pavarde2 5 3 6 7 7 2
Vardas3 Pavarde3 1 2 8 9 7 1
Vardas4 Pavarde4 10 5 2 8 2 10
Vardas5 Pavarde5 4 5 4 7 6 3
Vardas6 Pavarde6 9 4 6 10 6 2
Vardas7 Pavarde7 10 10 3 3 2 9
Vardas8 Pavarde8 3 8 10 8 8 8
Vardas9 Pavarde9 3 7 5 4 9 3
Vardas10 Pavarde10 7 5 10 6 4 2
Vardas11 Pavarde11 9 3 5 9 3 7
Vardas12 Pavarde12 2 6 5 6 1 1
Vardas13 Pavarde13 2 3 5 10 2 8
Vardas14 Pavarde14 7 7 3 1 7 2
Vardas15 Pavarde15 5 4 8 5 6 3
Vardas16 Pavarde16 7 4 2 8 4 9
Vardas17 Pavarde17 6 7 6 10 5 2
Vardas18 Pavarde18 4 1 7 2 3 6
Vardas19 Pavarde19 6 4 6 6 3 10
Vardas20 Pavarde20 10 4 4 7 6 8
Vardas21 Pavarde21 10 3 1 1 7 6
Vardas22 Pavarde22 9 2 9 10 8 1
Vardas23 Pavarde23 2 6 5 3 7 7
Vardas24 Pavarde24 3 6 10 7 7 5
Vardas25 Pavarde25 7 4 5 3 7 2
Vardas26 Pavarde26 10 10 8 2 1 6
Vardas27 Pavarde27 2 1 1 2 6 9
Vardas28 Pavarde28 10 5 5 1 2 1
Vardas29 Pavarde29 6 7 1 1 3 1
Vardas30 Pavarde30 5 8 9 7 9 5
Vardas31 Pavarde31 8 4 7 3 5 3
Vardas32 Pavarde32 10 9 3 8 6 4
Vardas33 Pavarde33 5 3 4 8 1 2
Vardas34 Pavarde34 6 9 9 1 8 1
Vardas35 Pavarde35 7 1 7 7 8 10
Vardas36 Pavarde36 10 8 6 7 2 5
Vardas37 Pavarde37 1 6 2 3 1 3
Vardas38 Pavarde38 4 10 3 8 2 7
Vardas39 Pavarde39 10 8 10 8 4 1
Vardas40 Pavarde40 6 9 6 2 5 3
Vardas41 Pavarde41 7 5 9 9 3 8
Vardas42 Pavarde42 5 3 10 10 6 8
Vardas43 Pavarde43 5 9 7 9 1 2
Vardas44 Pavarde44 9 9 8 8 2 9
Vardas45 Pavarde45 9 8 1 4 5 7
Vardas46 Pavarde46 9 6 9 7 7 9
Vardas47 Pavarde47 1 6 10 5 3 8
Vardas48 Pavarde48 7 6 5 8 2 7
Vardas49 Pavarde49 1 2 2 2 6 8
Vardas50 Pavarde50 10 10 7 5 4 6
Vardas51 Pavarde51 10 7 10 1 6 9
Vardas52 Pavarde52 6 4 5 6 2 2
Vardas53 Pavarde53 6 6 1 5 5 1
Vardas54 Pavarde54 1 7 5 5 4 7
Vardas55 Pavarde55 2 10 9 6 9 1
Vardas56 Pavarde56 4 1 5 6 4 6
Vardas57 Pavarde57 4 8 3 1 3 1
Vardas58 Pavarde58 10 7 7 1 3 7
Vardas59 Pavarde59 8 10 10 7 8 5
Vardas60 Pavarde60 5 2 6 2 8 5
Vardas61 Pavarde61 3 6 5 2 9 9
Vardas62 Pavarde62 1 6 2 9 10 10
Vardas63 Pavarde63 1 6 4 2 7 9
Vardas64 Pavarde64 10 5 4 7 10 3
Vardas65 Pavarde65 8 3 4 7 8 3
Vardas66 Pavarde66 10 5 3 8 5 4
Vardas67 Pavarde67 4 10 1 9 10 8
Vardas68 Pavarde68 4 5 2 6 9 7
Vardas69 Pavarde69 4 7 4 4 7 6
Vardas70 Pavarde70 6 5 3 5 9 2
Vardas71 Pavarde71 7 1 4 10 1 5
Vardas72 Pavarde72 5 9 10 4 7 5
Vardas73 Pavarde73 8 2 2 6 8 9
Vardas74 Pavarde74 2 2 3 9 8 10
Vardas75 Pavarde75 2 7 8 5 5 3
Vardas76 Pavarde76 5 7 2 2 10 10
Vardas77 Pavarde77 7 5 7 2 8 3
Vardas78 Pavarde78 9 9 1 1 2 1
Vardas79 Pavarde79 5 8 3 1 2 8
Vardas80 Pavarde80 9 10 9 9 8 6
Vardas81 Pavarde81 7 7 1 6 9 2
Vardas82 Pavarde82 8 2 2 9 3 7
Vardas83 Pavarde83 1 8 4 3 2 2
Vardas84 Pavarde84 5 4 6 3 3 1
Vardas85 Pavarde85 5 9 9 4 4 5
Vardas86 Pavarde86 9 7 2 3 1 3
Vardas87 Pavarde87 2 4 7 10 3 9
Vardas88 Pavarde88 7 4 3 8 3 10
Vardas89 Pavarde89 1 3 9 8 2 3
Vardas90 Pavarde90 8 6 3 1 4 4
Vardas91 Pavarde91 4 3 1 2 10 8
