Vardas Pavarde ND1 ND2 ND3 ND4 ND5 Egzaminas
Vardas1 Pavarde1 7 5 1 3 1 8
Vardas2 Pavarde2 7 9 4 1 3 3
Vardas3 Pavarde3 4 1 2 8 8 9
Vardas4 Pavarde4 1 9 9 4 10 7
Vardas5 Pavarde5 7 1 3 2 6 4
Vardas6 Pavarde6 7 4 7 10 7 9
Vardas7 Pavarde7 9 2 5 6 8 9
Vardas8 Pavarde8 7 2 7 7 3 1
Vardas9 Pavarde9 8 3 3 1 2 5
Vardas10 Pavarde10 2 6 10 7 4 1
Vardas11 Pavarde11 9 3 4 8 2 6
Vardas12 Pavarde12 2 2 7 2 1 3
Vardas13 Pavarde13 10 1 3 6 5 9
Vardas14 Pavarde14 9 8 10 10 3 2
Vardas15 Pavarde15 3 5 9 10 5 6
Vardas16 Pavarde16 8 4 2 6 10 6
Vardas17 Pavarde17 2 6 8 5 5 8
Vardas18 Pavarde18 8 3 6 6 3 2
Vardas19 Pavarde19 10 5 3 2 9 1
Vardas20 Pavarde20 4 9 7 1 9 4
Vardas21 Pavarde21 7 10 6 9 2 7
Vardas22 Pavarde22 7 7 9 6 9 4
Vardas23 Pavarde23 1 1 7 8 3 1
Vardas24 Pavarde24 10 9 3 9 9 8
Vardas25 Pavarde25 6 10 6 3 7 2
Vardas26 Pavarde26 8 9 5 5 10 5
Vardas27 Pavarde27 10 5 8 9 4 3
Vardas28 Pavarde28 8 6 5 1 2 1
Vardas29 Pavarde29 2 8 10 2 9 5
Vardas30 Pavarde30 9 3 3 5 9 9
Vardas31 Pavarde31 1 4 3 5 1 1
Vardas32 Pavarde32 8 10 10 2 6 8
Vardas33 Pavarde33 8 10 10 4 7 8
Vardas34 Pavarde34 5 7 3 9 5 6
Vardas35 Pavarde35 3 10 9 5 3 4
Vardas36 Pavarde36 7 1 7 3 2 1
Vardas37 Pavarde37 7 8 7 3 7 9
Vardas38 Pavarde38 9 9 9 7 7 5
Vardas39 Pavarde39 9 10 10 9 5 5
Vardas40 Pavarde40 8 6 9 8 10 7
Vardas41 Pavarde41 7 5 1 6 5 7
Vardas42 Pavarde42 2 5 2 2 5 8
Vardas43 Pavarde43 1 7 5 6 5 3
Vardas44 Pavarde44 7 10 5 9 9 10
Vardas45 Pavarde45 5 3 9 4 7 10
Vardas46 Pavarde46 1 6 1 9 2 8
Vardas47 Pavarde47 3 10 5 4 5 1
Vardas48 Pavarde48 8 2 3 6 5 2
Vardas49 Pavarde49 10 2 4 4 9 6
Vardas50 Pavarde50 3 5 5 1 8 5
Vardas51 Pavarde51 5 3 2 9 1 10
Vardas52 Pavarde52 7 6 7 1 5 8
Vardas53 Pavarde53 10 8 5 6 10 2
Vardas54 Pavarde54 9 3 5 4 3 6
Vardas55 Pavarde55 5 7 9 1 8 2
Vardas56 Pavarde56 4 3 9 1 3 5
Vardas57 Pavarde57 4 10 4 8 4 2
Vardas58 Pavarde58 5 8 2 5 2 7
Vardas59 Pavarde59 8 7 7 6 2 10
Vardas60 Pavarde60 8 8 1 1 1 4
Vardas61 Pavarde61 5 4 9 8 3 6
Vardas62 Pavarde62 4 10 9 4 9 10
Vardas63 Pavarde63 3 7 1 3 10 3
Vardas64 Pavarde64 9 6 8 7 9 5
Vardas65 Pavarde65 9 8 9 9 6 2
Vardas66 Pavarde66 1 5 10 3 2 3
Vardas67 Pavarde67 1 5 7 7 7 10
Vardas68 Pavarde68 6 10 7 1 5 5
Vardas69 Pavarde69 7 9 3 3 9 4
Vardas70 Pavarde70 6 10 9 4 7 9
Vardas71 Pavarde71 7 5 7 1 9 9
Vardas72 Pavarde72 7 9 7 1 1 4
Vardas73 Pavarde73 1 10 7 5 10 10
Vardas74 Pavarde74 4 5 1 6 8 1
Vardas75 Pavarde75 3 4 9 7 9 10
Vardas76 Pavarde76 4 4 3 2 2 1
Vardas77 Pavarde77 7 4 4 1 5 4
Vardas78 Pavarde78 9 10 1 10 5 9
Vardas79 Pavarde79 10 4 3 7 6 1
Vardas80 Pavarde80 5 9 7 10 10 4
Vardas81 Pavarde81 7 4 1 1 6 3
Vardas82 Pavarde82 1 8 3 10 8 10
Vardas83 Pavarde83 6 3 3 1 3 3
Vardas84 Pavarde84 10 4 10 1 9 10
Vardas85 Pavarde85 7 2 2 2 9 4
Vardas86 Pavarde86 3 2 5 3 2 7
Vardas87 Pavarde87 2 10 2 5 8 9
Vardas88 Pavarde88 5 6 3 10 3 6
Vardas89 Pavarde89 6 3 10 8 3 4
Vardas90 Pavarde90 2 8 7 2 3 3
Vardas91 Pavarde91 10 10 8 3 8 5
Vardas92 Pavarde92 9 8 8 10 9 5
Vardas93 Pavarde93 4 2 4 9 9 5
Vardas94 Pavarde94 4 10 3 4 7 6
Vardas95 Pavarde95 4 3 4 4 3 6
Vardas96 Pavarde96 1 5 1 4 6 4
Vardas97 Pavarde97 2 1 3 6 3 9
Vardas98 Pavarde98 8 4 7 3 5 9
Vardas99 Pavarde99 2 4 6 6 3 5
Vardas100 Pavarde100 2 5 3 6 9 3
Vardas101 Pavarde101 3 6 6 7 4 4
Vardas102 Pavarde102 3 7 7 5 8 4
Vardas103 Pavarde103 1 2 6 5 3 1
Vardas104 Pavarde104 2 3 6 3 3 9
Vardas105 Pavarde105 6 10 2 10 2 6
Vardas106 Pavarde106 5 6 8 9 10 10
Vardas107 Pavarde107 4 8 9 9 9 10
Vardas108 Pavarde108 7 4 1 2 3 6
Vardas109 Pavarde109 6 7 6 7 8 8
Vardas110 Pavarde110 10 1 6 3 1 6
Vardas111 Pavarde111 9 5 7 4 8 9
Vardas112 Pavarde112 2 3 3 8 9 8
Vardas113 Pavarde113 9 10 8 1 8 7
Vardas114 Pavarde114 1 10 8 1 5 9
Vardas115 Pavarde115 1 7 7 3 5 10
Vardas116 Pavarde116 1 7 6 7 7 8
Vardas117 Pavarde117 6 4 5 4 4 5
Vardas118 Pavarde118 8 10 10 3 9 10
Vardas119 Pavarde119 4 3 1 9 1 1
Vardas120 Pavarde120 9 3 2 5 1 9
Vardas121 Pavarde121 7 9 4 1 9 6
Vardas122 Pavarde122 5 7 5 2 10 8
Vardas123 Pavarde123 4 5 8 2 10 9
Vardas124 Pavarde124 9 4 6 8 8 10
Vardas125 Pavarde125 1 10 5 2 9 8
Vardas126 Pavarde126 4 5 8 10 7 3
Vardas127 Pavarde127 10 4 9 1 3 10
