Vardas         Pavarde        Galutinis 
----------------------------------------------
Vardas3        Pavarde3       4.68      
Vardas5        Pavarde5       3.36      
Vardas10       Pavarde10      4.80      
Vardas11       Pavarde11      4.32      
Vardas13       Pavarde13      2.44      
Vardas17       Pavarde17      4.48      
Vardas23       Pavarde23      3.80      
Vardas24       Pavarde24      2.36      
Vardas26       Pavarde26      4.92      
Vardas27       Pavarde27      3.52      
Vardas28       Pavarde28      4.12      
Vardas29       Pavarde29      3.32      
Vardas32       Pavarde32      4.80      
Vardas33       Pavarde33      3.24      
Vardas36       Pavarde36      2.92      
Vardas37       Pavarde37      2.80      
Vardas38       Pavarde38      2.12      
Vardas39       Pavarde39      3.00      
Vardas44       Pavarde44      2.20      
Vardas48       Pavarde48      3.40      
Vardas51       Pavarde51      3.68      
Vardas52       Pavarde52      3.80      
Vardas54       Pavarde54      4.44      
Vardas55       Pavarde55      2.80      
Vardas62       Pavarde62      3.44      
Vardas63       Pavarde63      4.00      
Vardas69       Pavarde69      2.76      
Vardas70       Pavarde70      2.04      
Vardas72       Pavarde72      4.96      
Vardas73       Pavarde73      4.84      
Vardas76       Pavarde76      3.72      
Vardas77       Pavarde77      3.92      
Vardas80       Pavarde80      4.52      
Vardas81       Pavarde81      3.68      
Vardas82       Pavarde82      3.04      
Vardas85       Pavarde85      2.36      
Vardas86       Pavarde86      2.44      
Vardas87       Pavarde87      4.40      
Vardas91       Pavarde91      4.08      
Vardas98       Pavarde98      2.48      
Vardas99       Pavarde99      4.48      
Vardas101      Pavarde101     3.12      
Vardas102      Pavarde102     4.28      
Vardas103      Pavarde103     4.96      
Vardas105      Pavarde105     4.12      
Vardas106      Pavarde106     3.00      
Vardas112      Pavarde112     4.64      
Vardas114      Pavarde114     4.84      
Vardas115      Pavarde115     3.84      
Vardas117      Pavarde117     3.80      
Vardas118      Pavarde118     4.24      
Vardas119      Pavarde119     3.68      
Vardas120      Pavarde120     3.08      
Vardas121      Pavarde121     3.12      
Vardas122      Pavarde122     4.48      
Vardas126      Pavarde126     2.76      
Vardas127      Pavarde127     4.60      
Vardas131      Pavarde131     4.36      
Vardas134      Pavarde134     2.68      
Vardas136      Pavarde136     4.72      
Vardas141      Pavarde141     3.08      
Vardas146      Pavarde146     2.92      
Vardas148      Pavarde148     4.88      
Vardas150      Pavarde150     2.60      
Vardas153      Pavarde153     4.76      
Vardas156      Pavarde156     4.40      
Vardas158      Pavarde158     4.84      
Vardas159      Pavarde159     3.16      
Vardas162      Pavarde162     4.00      
Vardas163      Pavarde163     4.96      
Vardas165      Pavarde165     2.80      
Vardas166      Pavarde166     4.96      
Vardas169      Pavarde169     3.12      
Vardas170      Pavarde170     4.64      
Vardas172      Pavarde172     3.96      
Vardas173      Pavarde173     4.88      
Vardas178      Pavarde178     3.88      
Vardas179      Pavarde179     3.52      
Vardas182      Pavarde182     2.08      
Vardas187      Pavarde187     3.32      
Vardas188      Pavarde188     4.60      
Vardas189      Pavarde189     4.24      
Vardas191      Pavarde191     2.60      
Vardas192      Pavarde192     3.84      
Vardas193      Pavarde193     3.96      
Vardas195      Pavarde195     2.20      
Vardas198      Pavarde198     4.80      
Vardas200      Pavarde200     2.96      
Vardas204      Pavarde204     4.64      
Vardas205      Pavarde205     4.08      
Vardas206      Pavarde206     4.64      
Vardas208      Pavarde208     4.00      
Vardas209      Pavarde209     3.08      
Vardas211      Pavarde211     1.96      
Vardas212      Pavarde212     4.08      
Vardas214      Pavarde214     4.04      
Vardas217      Pavarde217     3.20      
Vardas220      Pavarde220     1.96      
Vardas223      Pavarde223     3.80      
Vardas225      Pavarde225     3.92      
Vardas226      Pavarde226     3.08      
Vardas228      Pavarde228     2.64      
Vardas230      Pavarde230     3.16      
Vardas231      Pavarde231     4.12      
Vardas232      Pavarde232     2.68      
Vardas235      Pavarde235     3.16      
Vardas236      Pavarde236     4.16      
Vardas239      Pavarde239     2.12      
Vardas242      Pavarde242     4.52      
Vardas247      Pavarde247     2.60      
Vardas251      Pavarde251     3.12      
Vardas252      Pavarde252     2.84      
Vardas253      Pavarde253     3.04      
Vardas254      Pavarde254     4.68      
Vardas257      Pavarde257     3.36      
Vardas260      Pavarde260     2.92      
Vardas263      Pavarde263     2.92      
Vardas265      Pavarde265     3.04      
Vardas266      Pavarde266     3.56      
Vardas272      Pavarde272     3.00      
Vardas273      Pavarde273     4.24      
Vardas275      Pavarde275     2.36      
Vardas277      Pavarde277     4.80      
Vardas278      Pavarde278     3.92      
Vardas279      Pavarde279     4.04      
Vardas281      Pavarde281     3.44      
Vardas282      Pavarde282     4.92      
Vardas287      Pavarde287     3.08      
Vardas290      Pavarde290     4.64      
Vardas291      Pavarde291     2.92      
Vardas293      Pavarde293     4.48      
Vardas295      Pavarde295     2.40      
Vardas297      Pavarde297     4.60      
Vardas298      Pavarde298     4.48      
Vardas300      Pavarde300     4.16      
Vardas304      Pavarde304     3.84      
Vardas307      Pavarde307     4.24      
Vardas312      Pavarde312     3.56      
Vardas313      Pavarde313     3.16      
Vardas318      Pavarde318     4.16      
Vardas320      Pavarde320     4.88      
Vardas321      Pavarde321     4.64      
Vardas322      Pavarde322     3.16      
Vardas325      Pavarde325     4.28      
Vardas329      Pavarde329     3.52      
Vardas331      Pavarde331     3.56      
Vardas333      Pavarde333     3.92      
Vardas335      Pavarde335     4.12      
Vardas336      Pavarde336     4.28      
Vardas337      Pavarde337     4.92      
Vardas338      Pavarde338     3.28      
Vardas339      Pavarde339     3.20      
Vardas343      Pavarde343     4.40      
Vardas348      Pavarde348     3.68      
Vardas350      Pavarde350     3.32      
Vardas351      Pavarde351     2.76      
Vardas355      Pavarde355     4.40      
Vardas362      Pavarde362     3.76      
Vardas368      Pavarde368     3.12      
Vardas373      Pavarde373     2.48      
Vardas377      Pavarde377     4.56      
Vardas378      Pavarde378     4.72      
